id;email;address;phone;gender;department;description;latitude;longitude;user_type
1;Sylvester.Schuppe-Skiles22@hotmail.com;misty;"2055702409";bijou;yowza nor premise;duh via;19297.44;11152.71;COMMUNITY_MEMBER
2;Katheryn.Schmeler87@hotmail.com;above even;"8037370118";hm;hopelessly;into stimulating chandelier;2029.51;4811.42;COMMUNITY_MEMBER
3;Oliver.McGlynn4@gmail.com;seldom er;"2146168322";er spelt;till;fibre;24532.5;22347.72;COMMUNITY_MEMBER
4;Willow_Jerde@gmail.com;authorise;"5441832381";stump unabashedly;time gah repair;prioritize after ick;6464.31;22527.93;GOV_OFFICIAL
5;Jena_Gerlach@gmail.com;voluntarily till why;"4310598396";orchestrate heir;cavort;cart;28618.23;31212.15;USER
6;Minerva.Ondricka17@hotmail.com;now around slimy;"7369559351";after;what plus fooey;sidetrack;29438.43;2271.53;COMMUNITY_MEMBER
7;Javier.Buckridge@yahoo.com;distort unimpressively but;"6454662548";in around kilt;fatherly prize;ringed;1134.03;26118.68;GOV_OFFICIAL
8;Catharine_Boyer@hotmail.com;female boastfully;"7528225879";icy remorseful often;fake alarming at;prospect yahoo;18243.87;6709.87;COMMUNITY_MEMBER
9;Uriah_Bernier67@gmail.com;mid yearningly;"1989267631";oh;joyfully lest psst;oddball;21968.99;27075.61;COMMUNITY_MEMBER
10;Letha_Tromp86@gmail.com;inasmuch;"1705661574";identical;apud;alongside starch deep;14857.92;24733.25;COMMUNITY_MEMBER
